,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf__svm_gamma,param_clf__svm_nu,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
106,0.06,0.00,0.19,0.00,10.0,0.7,"{'clf__svm_gamma': 10.0, 'clf__svm_nu': 0.7}",0.18,0.20,0.19,0.18,0.20,0.19,0.01,96,0.91,0.91,0.96,0.91,0.91,0.92,0.02
107,0.06,0.00,0.20,0.00,10.0,0.8,"{'clf__svm_gamma': 10.0, 'clf__svm_nu': 0.8}",0.17,0.18,0.17,0.17,0.20,0.18,0.01,98,0.87,0.88,0.94,0.89,0.88,0.89,0.02
108,0.06,0.01,0.20,0.01,10.0,0.9,"{'clf__svm_gamma': 10.0, 'clf__svm_nu': 0.9}",0.14,0.17,0.17,0.15,0.18,0.16,0.01,99,0.76,0.82,0.85,0.81,0.80,0.81,0.03
109,0.05,0.00,0.20,0.00,10.0,1.0,"{'clf__svm_gamma': 10.0, 'clf__svm_nu': 1.0}",0.03,0.03,0.03,0.03,0.03,0.03,0.00,118,0.03,0.03,0.03,0.03,0.03,0.03,0.00
110,0.09,0.00,0.27,0.00,100.0,0.1,"{'clf__svm_gamma': 100.0, 'clf__svm_nu': 0.1}",0.08,0.08,0.08,0.07,0.06,0.07,0.01,100,0.92,0.92,0.97,0.92,0.92,0.93,0.02
111,0.09,0.00,0.27,0.00,100.0,0.2,"{'clf__svm_gamma': 100.0, 'clf__svm_nu': 0.2}",0.08,0.08,0.08,0.07,0.06,0.07,0.01,100,0.92,0.92,0.97,0.92,0.92,0.93,0.02
112,0.09,0.00,0.27,0.00,100.0,0.3,"{'clf__svm_gamma': 100.0, 'clf__svm_nu': 0.3}",0.08,0.08,0.08,0.07,0.06,0.07,0.01,100,0.92,0.92,0.97,0.92,0.92,0.93,0.02
113,0.09,0.00,0.28,0.02,100.0,0.4,"{'clf__svm_gamma': 100.0, 'clf__svm_nu': 0.4}",0.08,0.08,0.08,0.07,0.06,0.07,0.01,100,0.92,0.92,0.97,0.92,0.92,0.93,0.02
114,0.08,0.00,0.27,0.00,100.0,0.5,"{'clf__svm_gamma': 100.0, 'clf__svm_nu': 0.5}",0.08,0.08,0.08,0.07,0.06,0.07,0.01,100,0.92,0.92,0.97,0.92,0.92,0.93,0.02
115,0.09,0.00,0.27,0.01,100.0,0.6,"{'clf__svm_gamma': 100.0, 'clf__svm_nu': 0.6}",0.08,0.08,0.08,0.07,0.06,0.07,0.01,100,0.92,0.92,0.97,0.92,0.92,0.93,0.02
116,0.09,0.00,0.27,0.00,100.0,0.7,"{'clf__svm_gamma': 100.0, 'clf__svm_nu': 0.7}",0.08,0.08,0.08,0.07,0.06,0.07,0.01,100,0.92,0.92,0.97,0.92,0.92,0.93,0.02
